namespace,key,current_value
alexscaves,item.alexscaves.music_disc_fusion.desc,Ninni - Fusion
alexscaves,item.alexscaves.music_disc_tasty.desc,Ninni - Tasty
alexsmobs,itemGroup.alexsmobs,Alex's Mobs
alexsmobs,item.alexsmobs.tab_icon,Alex's Mobs
alexsmobs,item.alexsmobs.mimicream,Mimicream
alexsmobs,item.alexsmobs.music_disc_thime.desc,LudoCrypt - Thime
alexsmobs,item.alexsmobs.music_disc_daze.desc,LudoCrypt - Daze
alexsmobs,block.alexsmobs.platypus_egg,Platypus Egg
alexsmobs,alexsmobs.sound.subtitle.la_cucaracha,¡La Cucaracha!
alexsmobs,alexsmobs.sound.subtitle.music_disc.wormboss,Wormboss
alexsmobs,advancements.alexsmobs.maraca.title,Mariachi？
alexsmobs,advancements.alexsmobs.la_cucaracha.title,Mariachi！
alexsmobs,advancements.alexsmobs.warped_mosco_kill.title,Destroyer of Chads
alexsmobs,advancements.alexsmobs.straddleboard.title,Surf Wax America
avaritia,tooltip.avaritia.more,and %s more...
betterf3,format.betterf3.fps,%s fps / %s fps %s
betterf3,text.betterf3.module.minecraft,Minecraft
betterf3,text.betterf3.line.minecraft,Minecraft
betterf3,text.betterf3.line.fps_tps,FPS / TPS（Alt+F3）
blue_skies,block.blue_skies.frostbright_log,Frostbright Log
blue_skies,block.blue_skies.everbright_pyrope_ore,Pyrope Ore
blue_skies,block.blue_skies.everbright_aquite_ore,Aquite Ore
blue_skies,block.blue_skies.everbright_moonstone_ore,Moonstone Ore
blue_skies,block.blue_skies.everbright_charoite_ore,Charoite Ore
blue_skies,block.blue_skies.everbright_emerald_ore,Emerald Ore
blue_skies,block.blue_skies.falsite_ore,Falsite Ore
blue_skies,block.blue_skies.ventium_ore,Ventium Ore
blue_skies,block.blue_skies.turquoise_cherry_grass_block,Cherry Grass Block
blue_skies,block.blue_skies.midnight_sand,Midnight Sand
blue_skies,block.blue_skies.midnight_sandstone,Midnight Sandstone
blue_skies,block.blue_skies.chiseled_midnight_sandstone,Chiseled Midnight Sandstone
blue_skies,block.blue_skies.cut_midnight_sandstone,Cut Midnight Sandstone
blue_skies,block.blue_skies.cut_midnight_sandstone_slab,Cut Midnight Sandstone Slab
blue_skies,block.blue_skies.smooth_midnight_sandstone,Smooth Midnight Sandstone
blue_skies,block.blue_skies.smooth_midnight_sandstone_slab,Smooth Midnight Sandstone Slab
blue_skies,block.blue_skies.smooth_midnight_sandstone_stairs,Smooth Midnight Sandstone Stairs
blue_skies,block.blue_skies.midnight_sandstone_wall,Midnight Sandstone Wall
blue_skies,block.blue_skies.midnight_sandstone_pillar,Midnight Sandstone Pillar
blue_skies,block.blue_skies.midnight_glass,Midnight Glass
blue_skies,block.blue_skies.midnight_glass_pane,Midnight Glass Pane
blue_skies,block.blue_skies.bluebright_vine,Bluebright Vines
blue_skies,block.blue_skies.starlit_vine,Starlit Vines
blue_skies,block.blue_skies.frostbright_vine,Frostbright Vines
blue_skies,block.blue_skies.chilled_lily_pad,Chilled Lily Pad
blue_skies,block.blue_skies.snowcap_pinhead,Snowcap Pinhead
blue_skies,block.blue_skies.snowcap_mushroom,Snowcap Mushroom
blue_skies,block.blue_skies.snowcap_mushroom_block,Snowcap Mushroom Block
blue_skies,block.blue_skies.snowcap_mushroom_stem,Snowcap Mushroom Stem
blue_skies,block.blue_skies.blue_fire,Blue Fire
blue_skies,block.blue_skies.upsidedown_blue_fire,Gravity Defying Blue Fire
blue_skies,block.blue_skies.brewberry_bush,Brewberry Bush
blue_skies,block.blue_skies.bluebright_sapling,Bluebright Sapling
blue_skies,block.blue_skies.starlit_sapling,Starlit Sapling
blue_skies,block.blue_skies.frostbright_sapling,Frostbright Sapling
blue_skies,block.blue_skies.lunar_grass,Lunar Grass
blue_skies,block.blue_skies.tall_lunar_grass,Lunar Tall Grass
blue_skies,block.blue_skies.lunar_grass_block,Lunar Grass Block
blue_skies,block.blue_skies.lunar_dirt,Lunar Dirt
blue_skies,block.blue_skies.coarse_lunar_dirt,Coarse Lunar Dirt
blue_skies,block.blue_skies.lunar_mud,Lunar Mud
blue_skies,block.blue_skies.lunar_farmland,Lunar Farmland
